Do you feel mentally exhausted at work?,"After a day at work, do you find it hard to recover your energy?",Do you find that everything you do at work requires much effort?,Do you feel physically exhausted at work?,"When you get up in the morning, do you lack the energy to start a new day at work?",Do you want to be active at work but find it difficult to manage?,Do you quickly get tired when exerting yourself at work?,Do you feel mentally exhausted and drained at the end of your workday?,Do you struggle to find enthusiasm for your work?,Do you feel indifferent about your job?,Are you cynical about the impact your work has on others?,Do you have trouble staying focused at work?,Do you struggle to think clearly at work?,Are you forgetful and easily distracted at work?,Do you have trouble concentrating while working?,Do you make mistakes at work because your mind is on other things?,Do you feel unable to control your emotions at work?,Do you feel you no longer recognize yourself in your emotional reactions at work?,Do you become irritable when things don't go your way at work?,Do you feel sad or upset at work without knowing why?,Classification
Quick to anger,Quick to anger,Focused,Ready to go,Challenging but good,Forgetful,Enthusiastic,Always distracted,Rarely feel tired,Easily distracted,Foggy mind,Clear-minded,Refreshed,Mostly engaged,Clear-minded,Enthusiastic,Challenging but good,In good physical condition,Positive outlook,Easily distracted,Needs Monitoring
Emotionally stable,Quick to anger,Good stamina,Positive outlook,Not motivated,Invested,Invested,Enthusiastic,Foggy mind,In good physical condition,Quick to anger,Not motivated,Enthusiastic,Drained,Invested,Indifferent,Forgetful,Easily distracted,Good stamina,Focused,Needs Monitoring
Self-aware,Emotionally stable,Refreshed,Good focus,Good focus,Easily distracted,Low mood,Sharp memory,Challenging but good,Good focus,Ready to go,Indifferent,Always distracted,Drained,Loses focus,Loses focus,Ready to go,Easily distracted,Invested,Forgetful,Needs Monitoring
Foggy mind,Mostly engaged,I recharge through entertainment,Ready to go,Drained,Not motivated,Enthusiastic,Mostly engaged,Rarely feel tired,Refreshed,Loses focus,Rarely feel tired,Emotionally stable,Quick to anger,Good stamina,No energy at all,Loses focus,Refreshed,Self-aware,Positive outlook,Needs Monitoring
Refreshed,Low mood,Refreshed,Emotionally stable,Low mood,Invested,Refreshed,Mostly engaged,Few mistakes,Not motivated,Quick to anger,Not motivated,Clear-minded,Foggy mind,Drained,Ready to go,Emotionally stable,Rarely feel tired,No energy at all,Clear-minded,Needs Monitoring
Ready to go,Self-aware,Good stamina,Ready to go,Indifferent,Clear-minded,Good focus,Rarely feel tired,Forgetful,Indifferent,Sharp memory,Few mistakes,Good stamina,Quick to anger,Low mood,Invested,No energy at all,Foggy mind,Foggy mind,Rarely feel tired,Needs Monitoring
Invested,Foggy mind,Indifferent,Easily distracted,Enthusiastic,Sharp memory,Sharp memory,Forgetful,Mostly engaged,Good stamina,Forgetful,Foggy mind,Quick to anger,Low mood,Foggy mind,Refreshed,Ready to go,Not motivated,Focused,Self-aware,Needs Monitoring
Mostly engaged,Always distracted,Quick to anger,Mostly engaged,Patient,Challenging but good,Good stamina,Mostly engaged,Foggy mind,Not motivated,Ready to go,Good focus,In good physical condition,Mostly engaged,No energy at all,Foggy mind,Low mood,Easily distracted,Rarely feel tired,Clear-minded,Needs Monitoring
Drained,Always distracted,Drained,Refreshed,Not motivated,In good physical condition,Good focus,Good focus,Drained,Good stamina,Positive outlook,Easily distracted,Not motivated,Clear-minded,Rarely feel tired,Refreshed,Refreshed,Indifferent,Mostly engaged,Mostly engaged,Needs Monitoring
Good focus,Sharp memory,Not motivated,Mostly engaged,Clear-minded,Challenging but good,Clear-minded,Foggy mind,Good stamina,Clear-minded,Low mood,Foggy mind,I recharge through entertainment,Focused,Foggy mind,Drained,Indifferent,Drained,Always distracted,Low mood,Needs Monitoring
Invested,Ready to go,Loses focus,Quick to anger,Drained,Indifferent,Forgetful,In good physical condition,Indifferent,Not motivated,Enthusiastic,No energy at all,Few mistakes,Self-aware,In good physical condition,Loses focus,Self-aware,Focused,Ready to go,Low mood,Needs Monitoring
Loses focus,Ready to go,Indifferent,I recharge through entertainment,Enthusiastic,Mostly engaged,Easily distracted,Mostly engaged,Not motivated,Not motivated,Focused,Indifferent,Indifferent,Patient,Drained,I recharge through entertainment,Self-aware,No energy at all,I recharge through entertainment,Positive outlook,Needs Monitoring
Not motivated,Drained,Positive outlook,Drained,Not motivated,Ready to go,Drained,Forgetful,Challenging but good,Clear-minded,Patient,Indifferent,Invested,Foggy mind,Loses focus,Ready to go,Refreshed,Self-aware,Ready to go,Sharp memory,Needs Monitoring
Invested,Sharp memory,Mostly engaged,Indifferent,Enthusiastic,In good physical condition,In good physical condition,Loses focus,Loses focus,Rarely feel tired,Refreshed,No energy at all,Positive outlook,Rarely feel tired,Mostly engaged,No energy at all,Positive outlook,No energy at all,Focused,Clear-minded,Needs Monitoring
Not motivated,Low mood,Foggy mind,Refreshed,Challenging but good,Low mood,Sharp memory,Foggy mind,Easily distracted,Focused,I recharge through entertainment,Self-aware,Forgetful,Always distracted,Clear-minded,Good focus,Few mistakes,Loses focus,Forgetful,Good focus,Needs Monitoring
Few mistakes,Few mistakes,Drained,Challenging but good,Ready to go,No energy at all,Forgetful,Not motivated,Refreshed,Loses focus,Invested,Positive outlook,Quick to anger,Positive outlook,Enthusiastic,Good stamina,Challenging but good,Easily distracted,Good stamina,No energy at all,Needs Monitoring
No energy at all,Quick to anger,Refreshed,Not motivated,Good focus,Enthusiastic,Quick to anger,Positive outlook,Positive outlook,Invested,In good physical condition,Invested,In good physical condition,Sharp memory,Drained,Invested,Always distracted,Indifferent,Positive outlook,Easily distracted,Needs Monitoring
No energy at all,Good stamina,Sharp memory,Not motivated,Mostly engaged,Enthusiastic,Sharp memory,Always distracted,Drained,Refreshed,Rarely feel tired,Mostly engaged,Quick to anger,Mostly engaged,Patient,I recharge through entertainment,Sharp memory,Indifferent,Good focus,Low mood,Needs Monitoring
Patient,Self-aware,I recharge through entertainment,Rarely feel tired,Self-aware,Focused,Always distracted,I recharge through entertainment,No energy at all,Ready to go,Foggy mind,Self-aware,Drained,In good physical condition,Forgetful,Loses focus,Self-aware,Not motivated,No energy at all,Forgetful,Needs Monitoring
Quick to anger,Not motivated,Always distracted,Good focus,Good focus,Sharp memory,Low mood,Few mistakes,Good stamina,Enthusiastic,No energy at all,Not motivated,Enthusiastic,Emotionally stable,Emotionally stable,Always distracted,Loses focus,Easily distracted,Good focus,I recharge through entertainment,Needs Monitoring
Enthusiastic,Quick to anger,Low mood,Always distracted,Forgetful,Few mistakes,Patient,Focused,Challenging but good,Not motivated,Indifferent,Mostly engaged,In good physical condition,Sharp memory,Drained,No energy at all,Emotionally stable,Refreshed,Invested,Enthusiastic,Needs Monitoring
Refreshed,Ready to go,Loses focus,Low mood,Emotionally stable,Good stamina,In good physical condition,Always distracted,Not motivated,Patient,Easily distracted,Not motivated,Enthusiastic,Loses focus,Refreshed,Invested,No energy at all,Low mood,Enthusiastic,Sharp memory,Needs Monitoring
Quick to anger,Good stamina,Ready to go,Low mood,Challenging but good,No energy at all,Low mood,Enthusiastic,Always distracted,Clear-minded,No energy at all,Enthusiastic,I recharge through entertainment,Low mood,In good physical condition,Sharp memory,Good stamina,No energy at all,Foggy mind,Loses focus,Needs Monitoring
Refreshed,Drained,Positive outlook,Indifferent,Low mood,Self-aware,Rarely feel tired,Focused,Sharp memory,Good stamina,Indifferent,Emotionally stable,Easily distracted,Low mood,Emotionally stable,Emotionally stable,Not motivated,Easily distracted,Enthusiastic,Drained,Needs Monitoring
Forgetful,Loses focus,Drained,Challenging but good,Positive outlook,Not motivated,Not motivated,No energy at all,Enthusiastic,Good focus,Sharp memory,Quick to anger,Patient,Easily distracted,Good focus,Mostly engaged,Forgetful,Mostly engaged,Focused,Not motivated,Needs Monitoring
Enthusiastic,Rarely feel tired,Focused,Loses focus,Few mistakes,Ready to go,Low mood,Quick to anger,Self-aware,Forgetful,Forgetful,In good physical condition,Low mood,Patient,I recharge through entertainment,Focused,Refreshed,Drained,In good physical condition,Positive outlook,Needs Monitoring
In good physical condition,Mostly engaged,Refreshed,Mostly engaged,Patient,Quick to anger,Foggy mind,Drained,Mostly engaged,Refreshed,Low mood,Mostly engaged,Quick to anger,Rarely feel tired,Good focus,Challenging but good,Loses focus,Refreshed,In good physical condition,Foggy mind,Needs Monitoring
Challenging but good,Rarely feel tired,Good focus,No energy at all,Loses focus,Rarely feel tired,I recharge through entertainment,Always distracted,No energy at all,Few mistakes,Self-aware,Drained,Ready to go,Patient,Sharp memory,Clear-minded,Focused,Always distracted,I recharge through entertainment,Easily distracted,Needs Monitoring
Sharp memory,In good physical condition,Not motivated,Indifferent,Mostly engaged,Low mood,Low mood,Mostly engaged,Rarely feel tired,Mostly engaged,I recharge through entertainment,Not motivated,Clear-minded,I recharge through entertainment,Ready to go,Foggy mind,Forgetful,Good stamina,Forgetful,I recharge through entertainment,Needs Monitoring
Emotionally stable,Invested,Always distracted,Always distracted,Few mistakes,In good physical condition,Sharp memory,Ready to go,Patient,Self-aware,Easily distracted,Quick to anger,Low mood,Rarely feel tired,Good stamina,Not motivated,Easily distracted,Forgetful,Refreshed,Foggy mind,Needs Monitoring
Good focus,Ready to go,Always distracted,Indifferent,Ready to go,Easily distracted,Enthusiastic,Refreshed,Low mood,Drained,Good focus,Clear-minded,Invested,Refreshed,Emotionally stable,Quick to anger,Self-aware,In good physical condition,Not motivated,Always distracted,Needs Monitoring
Positive outlook,Not motivated,Good stamina,Low mood,No energy at all,Few mistakes,I recharge through entertainment,Invested,Forgetful,Drained,Clear-minded,Quick to anger,Low mood,Enthusiastic,Forgetful,Mostly engaged,Forgetful,Low mood,Ready to go,Emotionally stable,Needs Monitoring
No energy at all,Challenging but good,Good stamina,Not motivated,Emotionally stable,Loses focus,Quick to anger,Mostly engaged,Emotionally stable,Invested,Few mistakes,Self-aware,Drained,In good physical condition,Good focus,Always distracted,Forgetful,Low mood,Good stamina,Few mistakes,Needs Monitoring
I recharge through entertainment,Refreshed,Quick to anger,No energy at all,Indifferent,Patient,Self-aware,Easily distracted,Sharp memory,Loses focus,No energy at all,Forgetful,Clear-minded,Clear-minded,Mostly engaged,Patient,I recharge through entertainment,Easily distracted,Always distracted,Easily distracted,Needs Monitoring
Patient,Emotionally stable,No energy at all,Sharp memory,Refreshed,Foggy mind,Always distracted,Positive outlook,In good physical condition,Invested,Always distracted,Foggy mind,Mostly engaged,Focused,Easily distracted,Good stamina,Positive outlook,No energy at all,Rarely feel tired,Refreshed,Needs Monitoring
Not motivated,Foggy mind,Rarely feel tired,Good focus,Emotionally stable,Low mood,Patient,Invested,Focused,Challenging but good,Refreshed,In good physical condition,I recharge through entertainment,In good physical condition,Always distracted,Foggy mind,Low mood,Forgetful,Good stamina,Low mood,Needs Monitoring
Ready to go,Mostly engaged,Indifferent,Always distracted,Challenging but good,Foggy mind,Good stamina,Self-aware,Quick to anger,Challenging but good,Invested,Quick to anger,Low mood,Sharp memory,Ready to go,Few mistakes,Always distracted,Forgetful,Drained,Patient,Needs Monitoring
Few mistakes,Indifferent,Not motivated,Few mistakes,Enthusiastic,Emotionally stable,Challenging but good,Loses focus,Sharp memory,Loses focus,Refreshed,Drained,Refreshed,Drained,Drained,Emotionally stable,Enthusiastic,Quick to anger,Low mood,Rarely feel tired,Needs Monitoring
Mostly engaged,Enthusiastic,Forgetful,Loses focus,Positive outlook,In good physical condition,Ready to go,Foggy mind,Always distracted,Always distracted,Mostly engaged,I recharge through entertainment,Drained,Low mood,Challenging but good,I recharge through entertainment,Sharp memory,Refreshed,Self-aware,Low mood,Needs Monitoring
Always distracted,I recharge through entertainment,Always distracted,Quick to anger,Foggy mind,I recharge through entertainment,Good focus,Rarely feel tired,Ready to go,Enthusiastic,Always distracted,Ready to go,Good focus,Easily distracted,Refreshed,Few mistakes,In good physical condition,Always distracted,Invested,I recharge through entertainment,Needs Monitoring
I recharge through entertainment,Rarely feel tired,In good physical condition,I recharge through entertainment,In good physical condition,Self-aware,Good stamina,Rarely feel tired,Indifferent,In good physical condition,Invested,Good focus,Easily distracted,Foggy mind,Easily distracted,Mostly engaged,Drained,Ready to go,Invested,Loses focus,Needs Monitoring
Drained,Low mood,Loses focus,Patient,Enthusiastic,Self-aware,Good stamina,Easily distracted,Low mood,Positive outlook,Enthusiastic,Clear-minded,Mostly engaged,Forgetful,Low mood,Quick to anger,Enthusiastic,Forgetful,Ready to go,Self-aware,Needs Monitoring
Always distracted,Positive outlook,Low mood,Enthusiastic,No energy at all,Clear-minded,Ready to go,Self-aware,Positive outlook,Quick to anger,Foggy mind,Always distracted,Refreshed,Ready to go,Challenging but good,Patient,Rarely feel tired,Good focus,Few mistakes,Foggy mind,Needs Monitoring
Indifferent,Easily distracted,Focused,Forgetful,No energy at all,Not motivated,Mostly engaged,Good stamina,Good focus,Quick to anger,Focused,Focused,Not motivated,Refreshed,Invested,Always distracted,Rarely feel tired,Emotionally stable,Focused,Invested,Needs Monitoring
I recharge through entertainment,Drained,Challenging but good,Positive outlook,Easily distracted,I recharge through entertainment,Mostly engaged,Forgetful,Always distracted,Drained,Self-aware,In good physical condition,Challenging but good,In good physical condition,Mostly engaged,Rarely feel tired,Patient,Foggy mind,Forgetful,Few mistakes,Needs Monitoring
Challenging but good,Foggy mind,Easily distracted,Good focus,In good physical condition,Forgetful,Foggy mind,Positive outlook,In good physical condition,Quick to anger,Easily distracted,Challenging but good,Good focus,Few mistakes,I recharge through entertainment,Focused,Quick to anger,Rarely feel tired,Patient,Challenging but good,Needs Monitoring
No energy at all,Easily distracted,Challenging but good,Clear-minded,Challenging but good,Rarely feel tired,Good focus,Low mood,Indifferent,Challenging but good,Rarely feel tired,Emotionally stable,Ready to go,Easily distracted,Emotionally stable,Forgetful,Ready to go,Good stamina,Easily distracted,Emotionally stable,Needs Monitoring
Mostly engaged,Not motivated,Sharp memory,Forgetful,Forgetful,Foggy mind,Focused,Refreshed,Challenging but good,Enthusiastic,Always distracted,Challenging but good,Few mistakes,Rarely feel tired,No energy at all,Low mood,Good stamina,Foggy mind,Focused,Quick to anger,Needs Monitoring
Challenging but good,Quick to anger,I recharge through entertainment,Refreshed,Mostly engaged,Good focus,Refreshed,Good focus,Rarely feel tired,Good stamina,Indifferent,Drained,Easily distracted,Focused,Enthusiastic,Loses focus,Good stamina,Drained,Foggy mind,Self-aware,Needs Monitoring
No energy at all,Positive outlook,Refreshed,Focused,Not motivated,Patient,Forgetful,I recharge through entertainment,Focused,No energy at all,Easily distracted,Few mistakes,I recharge through entertainment,Focused,Indifferent,Drained,Low mood,Not motivated,No energy at all,Challenging but good,Needs Monitoring
Low mood,Ready to go,Always distracted,Quick to anger,Mostly engaged,Indifferent,Positive outlook,Low mood,No energy at all,Forgetful,Good stamina,Mostly engaged,Clear-minded,Rarely feel tired,Low mood,Rarely feel tired,Challenging but good,Enthusiastic,In good physical condition,Few mistakes,Needs Monitoring
